     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
 PTL_I  9.9758e-01  9.9675e-01  9.9740e-01  9.9993e-01  1.0001e+00  9.9998e-01  1.0004e+00  1.0004e+00  1.0007e+00  9.9853e-01  9.9739e-01  9.9808e-01  9.9725e-01  9.9869e-01  9.9938e-01  9.9636e-01
 MAN_I  9.8707e-01  9.8971e-01  9.9002e-01  9.8809e-01  9.8543e-01  9.8703e-01  9.8717e-01  9.8798e-01  9.8627e-01  9.8890e-01  9.8897e-01  9.8954e-01  9.8990e-01  9.8856e-01  9.8781e-01  9.8852e-01
 CHM_I  9.8810e-01  9.8642e-01  9.8657e-01  9.8816e-01  9.8785e-01  9.8760e-01  9.8812e-01  9.8673e-01  9.8583e-01  9.8608e-01  9.8660e-01  9.8875e-01  9.8670e-01  9.8692e-01  9.8706e-01  9.8571e-01
 CEM_I  9.8759e-01  9.8770e-01  9.8804e-01  9.8811e-01  9.8625e-01  9.8809e-01  9.8835e-01  9.8760e-01  9.8728e-01  9.8765e-01  9.8752e-01  9.8877e-01  9.8769e-01  9.8693e-01  9.8706e-01  9.8562e-01
 STL_I  9.8466e-01  9.8620e-01  9.8622e-01  9.8832e-01  9.8388e-01  9.8470e-01  9.8549e-01  9.8467e-01  9.8485e-01  9.8500e-01  9.8442e-01  9.8568e-01  9.8191e-01  9.8150e-01  9.8411e-01  9.8015e-01
 NFM_I  9.8473e-01  9.8507e-01  9.8538e-01  9.8969e-01  9.8540e-01  9.8542e-01  9.8708e-01  9.8820e-01  9.8482e-01  9.8361e-01  9.8520e-01  9.8526e-01  9.8501e-01  9.8486e-01  9.8878e-01  9.8246e-01
 ELC_I  9.8799e-01  0.0000e+00  9.7887e-01  9.9093e-01  0.0000e+00  9.9052e-01  9.9132e-01  9.9121e-01  9.9105e-01  9.9189e-01  9.9232e-01  9.9319e-01  9.9436e-01  9.9162e-01  9.9186e-01  9.9202e-01
 TRL_I  9.8540e-01  9.8460e-01  9.8473e-01  9.8577e-01  9.8362e-01  9.8597e-01  9.8541e-01  9.8580e-01  9.8584e-01  9.8551e-01  9.8571e-01  9.8592e-01  9.8590e-01  9.8549e-01  9.8579e-01  9.8526e-01
 TRA_I  9.8771e-01  9.8464e-01  9.8283e-01  9.8669e-01  9.8532e-01  9.8735e-01  9.8678e-01  9.8627e-01  9.8686e-01  9.8652e-01  9.8622e-01  9.8658e-01  9.8636e-01  9.8600e-01  9.8620e-01  9.8636e-01
 TRS_I  9.8595e-01  9.8585e-01  9.8701e-01  9.8731e-01  9.8726e-01  9.8810e-01  9.8764e-01  9.8765e-01  9.8769e-01  9.8782e-01  9.8793e-01  9.8780e-01  9.8742e-01  9.8777e-01  9.8745e-01  9.8757e-01
 OTS_I  9.8802e-01  9.9032e-01  9.9042e-01  9.8874e-01  9.8735e-01  9.8683e-01  9.8923e-01  9.9015e-01  9.8923e-01  9.8920e-01  9.8950e-01  9.8998e-01  9.9023e-01  9.8976e-01  9.8957e-01  9.9026e-01
 GOV_I  9.8729e-01  9.9233e-01  9.9220e-01  9.9096e-01  9.8973e-01  9.9072e-01  9.9033e-01  9.8991e-01  9.9055e-01  9.9047e-01  9.9017e-01  9.9003e-01  9.9012e-01  9.9105e-01  9.9070e-01  9.9027e-01

     2         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   LND  1.2640e+00  1.0748e+00  1.1727e+00  1.4609e+00  1.1470e+00  1.2216e+00  1.0933e+00  1.0135e+00  1.0256e+00  9.3952e-01  1.0641e+00  1.3166e+00  1.1900e+00  1.0262e+00  1.0251e+00  1.0536e+00
   LAB  1.0000e+00  9.7351e-01  1.0072e+00  9.9560e-01  1.0014e+00  9.5367e-01  9.3853e-01  9.6062e-01  9.4373e-01  9.9779e-01  9.8014e-01  9.8977e-01  9.9904e-01  9.8162e-01  9.5328e-01  1.0423e+00
   CAP  9.7241e-01  9.9634e-01  9.7386e-01  9.5884e-01  9.8674e-01  9.4580e-01  1.0076e+00  9.8126e-01  9.8236e-01  9.8055e-01  9.9039e-01  1.0025e+00  1.0149e+00  9.8903e-01  1.0138e+00  9.2430e-01
   NAT  1.0693e+00  1.1041e+00  1.0541e+00  1.1161e+00  1.0525e+00  1.2397e+00  1.0819e+00  1.1811e+00  1.1631e+00  1.0727e+00  1.0776e+00  1.0280e+00  1.0338e+00  1.0950e+00  1.0484e+00  1.1645e+00
   AGF  1.0124e+00  9.9906e-01  9.9581e-01  1.0203e+00  1.0057e+00  1.0097e+00  1.0074e+00  9.8279e-01  9.8522e-01  9.8667e-01  9.9582e-01  1.0034e+00  1.0100e+00  9.8669e-01  9.7882e-01  9.9545e-01
   OIL  1.0047e+00  1.0059e+00  1.0006e+00  1.0093e+00  1.0066e+00  1.0271e+00  1.0188e+00  1.0287e+00  1.0230e+00  1.0074e+00  1.0096e+00  1.0067e+00  1.0080e+00  1.0142e+00  1.0160e+00  1.0022e+00
   GAS  9.8871e-01  9.8997e-01  1.0005e+00  9.9957e-01  9.9281e-01  1.0021e+00  1.0102e+00  1.0292e+00  9.6648e-01  9.9682e-01  1.0003e+00  1.0029e+00  9.9696e-01  1.0032e+00  1.0166e+00  9.9618e-01
   COL  1.0046e+00  1.0102e+00  1.0055e+00  1.0094e+00  1.0077e+00  1.0249e+00  1.0176e+00  1.0232e+00  1.0097e+00  1.0075e+00  1.0090e+00  9.9969e-01  1.0035e+00  1.0123e+00  9.9927e-01  1.0187e+00
   PTL  1.0038e+00  1.0003e+00  9.9855e-01  1.0063e+00  1.0092e+00  1.0081e+00  1.0121e+00  1.0110e+00  1.0035e+00  1.0034e+00  1.0044e+00  1.0047e+00  1.0016e+00  1.0095e+00  1.0099e+00  9.9685e-01
