     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   AFR  2.8335e+01  1.6286e+00  2.5892e+00  3.0680e+00  1.0898e+01  1.7087e+01  6.2408e+00  7.1100e+00  1.0688e+00  4.0875e+00  2.6466e+00  6.8866e+01  5.9087e+00  1.3113e+01  3.8725e+02  3.6388e+00
   RUS  1.1402e+02  5.6534e+00  8.4252e+00  6.6956e+00  3.5917e+01  9.1469e+01  2.1998e+01  1.1174e+01  5.5308e+00  9.9675e+00  1.7958e+01  3.1748e+02  9.2664e+01  6.9735e+01  9.7807e+00  1.7289e+03

     4         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   USA  5.3767e+03  8.8522e+01  1.1027e+02  2.2291e+01  8.2636e+01  1.5691e+02  4.4390e+01  1.1434e+01  6.1601e+00  1.6504e+01  6.3803e+01  2.6065e+02  2.3601e+01  5.0049e+01  2.0939e+01  1.5346e+01
   MEX  5.7117e+01  3.0379e+02  2.5825e+00  5.0562e-01  3.8420e+00  9.7025e+00  2.6085e+00  5.8515e-01  2.3714e-01  1.8030e+00  3.4902e+00  1.4245e+01  1.2955e+00  1.6064e+00  7.2807e-01  4.7739e-01
   CAN  1.5511e+02  4.5487e+00  3.4782e+02  2.0790e+00  8.1224e+00  1.6959e+01  4.3578e+00  1.4077e+00  7.8544e-01  1.6887e+00  4.9915e+00  3.2598e+01  3.3642e+00  5.0496e+00  2.0792e+00  1.7616e+00
   OCN  1.9121e+01  8.8777e-01  1.9300e+00  3.0086e+02  1.9531e+01  2.3443e+01  8.9791e+00  9.2115e+00  1.0219e+00  8.3330e-01  1.6289e+00  2.6726e+01  2.2746e+00  6.3922e+00  2.3716e+00  1.3081e+00
   JAP  4.8710e+01  2.9013e+00  3.7656e+00  6.5752e+00  1.0150e+03  6.2966e+01  1.6341e+01  2.5955e+00  1.2786e+00  2.3227e+00  3.7512e+00  4.1216e+01  4.0549e+00  1.5573e+01  3.2090e+00  3.1158e+00
   EAA  6.5897e+02  3.7562e+01  5.6763e+01  6.9797e+01  3.8251e+02  5.0478e+03  2.1083e+02  4.2700e+01  2.0347e+01  3.0921e+01  6.1639e+01  6.3690e+02  6.7977e+01  1.6359e+02  5.0303e+01  5.7574e+01
   SEA  8.6629e+01  5.1979e+00  7.3809e+00  2.7900e+01  5.6565e+01  1.0461e+02  5.9568e+02  9.8441e+00  7.4456e+00  3.4650e+00  7.4768e+00  1.1739e+02  1.3188e+01  2.8326e+01  8.3001e+00  8.0834e+00
   IND  4.7109e+01  2.1864e+00  3.9775e+00  8.4699e+00  1.2955e+01  3.3287e+01  2.0297e+01  1.1391e+03  1.4492e+01  3.4693e+00  4.6021e+00  7.3194e+01  6.6498e+00  4.8927e+01  1.9842e+01  5.3186e+00
   SOA  4.6799e+00  1.8115e-01  4.2365e-01  5.9852e-01  1.5892e+00  4.1684e+00  2.1739e+00  2.6020e+00  1.2651e+02  2.6985e-01  3.6710e-01  8.0245e+00  7.0763e-01  3.4449e+00  5.8836e-01  5.9709e-01
   BRA  3.4359e+01  2.8198e+00  2.1221e+00  1.0759e+00  4.9469e+00  1.1064e+01  3.1432e+00  1.1642e+00  4.8197e-01  2.5938e+02  1.4298e+01  2.6818e+01  3.1462e+00  6.4045e+00  4.5298e+00  2.1569e+00
   LAM  1.3303e+02  1.0459e+01  8.7089e+00  3.1031e+00  1.2060e+01  2.5127e+01  6.0941e+00  2.1690e+00  1.0349e+00  1.9222e+01  5.2236e+02  6.7178e+01  6.3561e+00  9.0554e+00  4.4394e+00  5.3438e+00
   WEU  2.2163e+02  1.1182e+01  1.9047e+01  1.6664e+01  4.5784e+01  9.1737e+01  3.3079e+01  1.4140e+01  6.9919e+00  1.3895e+01  2.3885e+01  2.8828e+03  9.2689e+01  8.3362e+01  3.8141e+01  3.1630e+01
   REU  5.4909e+01  2.8635e+00  5.3976e+00  4.9101e+00  1.3639e+01  3.1633e+01  1.2334e+01  4.6339e+00  2.1351e+00  4.6606e+00  7.2056e+00  2.6388e+02  8.9403e+02  3.6674e+01  7.9694e+00  3.8105e+01
   MNA  1.4222e+02  7.2240e+00  1.0298e+01  1.4657e+01  1.1118e+02  1.4583e+02  4.4242e+01  4.3928e+01  3.3811e+01  1.3813e+01  1.3046e+01  2.8087e+02  3.0765e+01  1.4039e+03  3.3116e+01  2.5091e+01
   AFR  2.8271e+01  1.6248e+00  2.5929e+00  3.1182e+00  1.0736e+01  1.7723e+01  6.3119e+00  7.2871e+00  1.1038e+00  4.0463e+00  2.6419e+00  6.8087e+01  5.9398e+00  1.3257e+01  3.9373e+02  3.7381e+00
   RUS  1.1987e+02  5.9428e+00  8.8760e+00  7.1000e+00  3.7330e+01  9.9615e+01  2.3330e+01  1.2015e+01  5.7891e+00  1.0306e+01  1.8713e+01  3.3075e+02  9.6523e+01  7.3511e+01  1.0238e+01  1.8122e+03

     5         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   USA  5.4274e+03  8.8807e+01  1.1082e+02  2.2740e+01  8.2231e+01  1.6409e+02  4.4979e+01  1.1807e+01  6.3009e+00  1.6574e+01  6.4567e+01  2.6082e+02  2.3842e+01  5.0620e+01  2.1083e+01  1.5807e+01
   MEX  5.8033e+01  3.0874e+02  2.6141e+00  5.1748e-01  3.8488e+00  1.0261e+01  2.6661e+00  6.2368e-01  2.4497e-01  1.8169e+00  3.5520e+00  1.4367e+01  1.3199e+00  1.6412e+00  7.3967e-01  4.9623e-01
   CAN  1.5751e+02  4.6056e+00  3.5575e+02  2.1308e+00  8.1679e+00  1.7983e+01  4.4636e+00  1.4719e+00  8.1193e-01  1.7135e+00  5.0875e+00  3.2974e+01  3.4326e+00  5.1651e+00  2.1164e+00  1.8368e+00
   OCN  1.9545e+01  9.0763e-01  1.9753e+00  3.0923e+02  1.9641e+01  2.4848e+01  9.1833e+00  9.6870e+00  1.0601e+00  8.4794e-01  1.6673e+00  2.7108e+01  2.3295e+00  6.5676e+00  2.4227e+00  1.3679e+00
   JAP  4.8750e+01  2.9014e+00  3.7781e+00  6.6269e+00  1.0170e+03  6.5204e+01  1.6385e+01  2.6715e+00  1.2951e+00  2.3263e+00  3.7699e+00  4.1100e+01  4.0797e+00  1.5727e+01  3.2143e+00  3.1934e+00
   EAA  6.9542e+02  3.9579e+01  6.0014e+01  7.3738e+01  3.9401e+02  5.3645e+03  2.2117e+02  4.5999e+01  2.1593e+01  3.2059e+01  6.4790e+01  6.6812e+02  7.1745e+01  1.7221e+02  5.2932e+01  6.1807e+01
   SEA  8.8686e+01  5.3061e+00  7.5621e+00  2.8553e+01  5.6644e+01  1.1057e+02  6.1025e+02  1.0287e+01  7.6510e+00  3.5181e+00  7.6510e+00  1.1925e+02  1.3502e+01  2.9076e+01  8.4707e+00  8.4383e+00
   IND  4.9519e+01  2.2935e+00  4.1910e+00  8.8159e+00  1.3373e+01  3.6088e+01  2.1155e+01  1.1955e+03  1.5136e+01  3.5796e+00  4.8334e+00  7.6324e+01  7.0029e+00  5.1169e+01  2.0499e+01  5.6759e+00
   SOA  4.8856e+00  1.8848e-01  4.4292e-01  6.2418e-01  1.6243e+00  4.4898e+00  2.2573e+00  2.7809e+00  1.3229e+02  2.7969e-01  3.8305e-01  8.3211e+00  7.3802e-01  3.5830e+00  6.1461e-01  6.3311e-01
   BRA  3.4725e+01  2.8378e+00  2.1393e+00  1.0955e+00  4.9515e+00  1.1730e+01  3.2115e+00  1.2042e+00  4.9629e-01  2.6353e+02  1.4474e+01  2.7001e+01  3.2007e+00  6.5659e+00  4.6034e+00  2.2661e+00
   LAM  1.3558e+02  1.0635e+01  8.8842e+00  3.1971e+00  1.2171e+01  2.6738e+01  6.2763e+00  2.2730e+00  1.0725e+00  1.9617e+01  5.3515e+02  6.8127e+01  6.5073e+00  9.3103e+00  4.5389e+00  5.5977e+00
   WEU  2.2389e+02  1.1236e+01  1.9251e+01  1.6911e+01  4.5645e+01  9.6349e+01  3.3614e+01  1.4611e+01  7.1617e+00  1.3972e+01  2.4140e+01  2.9011e+03  9.3500e+01  8.4716e+01  3.8648e+01  3.2545e+01
   REU  5.5745e+01  2.8956e+00  5.4740e+00  5.0096e+00  1.3661e+01  3.3380e+01  1.2611e+01  4.8142e+00  2.1935e+00  4.7052e+00  7.3174e+00  2.6569e+02  9.1199e+02  3.7528e+01  8.0843e+00  3.9427e+01
   MNA  1.4508e+02  7.3414e+00  1.0536e+01  1.5094e+01  1.1189e+02  1.5538e+02  4.5562e+01  4.6043e+01  3.4943e+01  1.3980e+01  1.3358e+01  2.8453e+02  3.1479e+01  1.4425e+03  3.3700e+01  2.6221e+01
   AFR  2.8356e+01  1.6314e+00  2.6078e+00  3.1704e+00  1.0634e+01  1.8543e+01  6.4110e+00  7.5439e+00  1.1361e+00  4.0777e+00  2.6652e+00  6.7636e+01  5.9957e+00  1.3460e+01  4.0036e+02  3.8548e+00
   RUS  1.2544e+02  6.2145e+00  9.2973e+00  7.4713e+00  3.8690e+01  1.0854e+02  2.4672e+01  1.2929e+01  6.0965e+00  1.0685e+01  1.9539e+01  3.4274e+02  1.0020e+02  7.7239e+01  1.0666e+01  1.8942e+03

     6         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   USA  5.4780e+03  8.9243e+01  1.1132e+02  2.3180e+01  8.1890e+01  1.7104e+02  4.5574e+01  1.2135e+01  6.4566e+00  1.6623e+01  6.5286e+01  2.6084e+02  2.4080e+01  5.1224e+01  2.1237e+01  1.6262e+01
   MEX  5.9005e+01  3.1432e+02  2.6498e+00  5.2901e-01  3.8645e+00  1.0812e+01  2.7238e+00  6.5886e-01  2.5326e-01  1.8290e+00  3.6057e+00  1.4485e+01  1.3437e+00  1.6774e+00  7.5031e-01  5.1444e-01
   CAN  1.5991e+02  4.6608e+00  3.6357e+02  2.1822e+00  8.2125e+00  1.8991e+01  4.5695e+00  1.5322e+00  8.3985e-01  1.7359e+00  5.1793e+00  3.3324e+01  3.5005e+00  5.2817e+00  2.1543e+00  1.9112e+00
   OCN  1.9956e+01  9.2793e-01  2.0184e+00  3.1772e+02  1.9692e+01  2.6229e+01  9.3961e+00  1.0116e+01  1.0998e+00  8.6136e-01  1.7039e+00  2.7480e+01  2.3848e+00  6.7436e+00  2.4735e+00  1.4270e+00
